,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
3466,1305017339700682755,2020-09-13 05:35:54,Imma have an AP one day but until then imma continue rocking this samsung watch,mpineda_57,,,"Albuquerque, NM",en
5302,1305023217271177216,2020-09-13 05:59:15,@PSYCHOV3N0M @introvortix @UniverseIce And still it’s too expensive and most people won’t ever use that big screen for the productivity Samsung is talking about. They only mention that to make us imagine what incredible things we’d be able to do if we buy that phone...,vladulescu04,,,Romania,en
1752,1305029038554054656,2020-09-13 06:22:23,"Samsung Unpacked 2020 Best phone, The Galaxy S20, Z Flip https://t.co/dqgJ0AnTsC https://t.co/3SnNkaoHRs",MyPhoneSet,,,United States,en
1751,1305039147862614016,2020-09-13 07:02:33,"@peacockTV Peacock can’t be play on tv. 
Peacock can’t be transferred the video from the phone to the tv. 
Peacock app isn’t available on Samsung smart tv. 
Peacock so far is the worst sport app available",mlopesf1,,,United States,en
1750,1305046656950374400,2020-09-13 07:32:24,Samsung Galaxy S5 Boost Mobile Cell Phone Excellent Cond. w/ FREE Ballistic Case - https://t.co/8qFUHHYmoq https://t.co/klAFZyL9V6,MasMazCom,,,United States ,en
1749,1305048317001228288,2020-09-13 07:39:00,"Wait a second, just got this... on a OnePlus phone, my Samsung S6 hasn't been powered on in months! https://t.co/z21tQ3trbg",KevinElston711,,,United States,en
5141,1305048444738957312,2020-09-13 07:39:30,👍 on @YouTube: 48 Hours with the Samsung Galaxy Z Fold 2: Worth Considering? https://t.co/Bm9el3DUMs,Adeptis,,,"MI, USA",en
5301,1305068829433712640,2020-09-13 09:00:30,Especially because you can trick ur Samsung out and the colors are prettier plus so many cool features...it’s really YOUR device.,shesgorg,,,"California, USA",en
1748,1305072752567648258,2020-09-13 09:16:05,Samsung Mobile Experts Break Down the Galaxy Z Fold2 #Innovation via https://t.co/NEo7LankbK https://t.co/avALJ2FN9e,Techfuturenew,,,United States,en
1747,1305076557329948672,2020-09-13 09:31:13,Samsung Galaxy Note Edge N915 32GB Unlocked 4G Android Smartphone AT - https://t.co/KcoFnM1KtZ https://t.co/i9mmJgW9l3,MasMazCom,,,United States ,en
321,1305079575106338816,2020-09-13 09:43:12,Gonna jump ship to Android...that new Samsung has a 29289202 megapixel camera and I neeeed it!!,rose_valenciia,,,"Long Beach, CA",en
3919,1305095450932973570,2020-09-13 10:46:17,Just took off my phone's screen protector (that came preinstalled by Samsung) and it turns out the glass I thought had chipped was actually just screen protector damage. I thought I was gonna have to pay £229 for a new screen. Thank you Jesus. Thank you Samsung https://t.co/3q231eyTmT,_trudiegraham,,,Scotland,en
1102,1305098326707253248,2020-09-13 10:57:43,Would anyone want to purchase a 75” Samsung 4k screen? Before I toss it on the public scam place. Absolutely zero issues. Bought it roughly a year ago. I’m trying to upgrade is all. Wife needs some motivation. I have tons of screenshots if needed. https://t.co/5qV6pna7qp,theJRuss,,"Florida, USA",East Duval County,en
2584,1305101487752839168,2020-09-13 11:10:16,"@LloydGarmad0nn Yeah so all you need is a new phone made by a different company

Like Samsung",LukeTheNindroid,,,"Virginia, USA",en
1101,1305105737446830080,2020-09-13 11:27:10,Wait why is this amazing? Why do I have a sudden desire to buy a Samsung phone? Omg 😳 https://t.co/KrdFQ0JuEl,AshHamarowicz,,,"Orlando, Fl",en
4643,1305109379335753728,2020-09-13 11:41:38,"@Hazim61982204 @Eventus98921187 @SamsungMobile @SamsungSverige @SamsungMobileUS @SamsungMobileCA Hi Hazim, I have had Samsung Note as since note2 and i think it is the best phone (i have a Note 9 500GB mod now) , but somethings makes me REALLY pissed..like: if you wants to repair a broken screen cost alot and you must send your phone away for now 3 weeks usally 7-10 days -&gt;",RPaulsson,,,Sweden,en
320,1305111517533073414,2020-09-13 11:50:08,"Plot twist, this video was filmed all on the new Samsung phone 😂😂 https://t.co/dNOT59mQcY",sarangtaaee,,,"Los Angeles, CA",en
2658,1305111531567407105,2020-09-13 11:50:11,"💜💜🥰✌🏻 Elles sont top les pubs Samsung 🐰🐹 assurent 
https://t.co/SNRSR7CWEN",Brasseurmargot,,,Belgique,en
4181,1305113531193257989,2020-09-13 11:58:08,"YouTube에서 'GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung' 보기
https://t.co/sZ8miF0iMb

@BTS_twt 
#Dynamite6thWin 
#BTS_Dynamite 
#ARMY",lovejem0715,,,"Korea, Gyunggi-do",en
3918,1305114299572973568,2020-09-13 12:01:11,I wanted to buy a samsung phone but my savings is screaming at me. 😢,alligaga_ver2,,,nowhere ,en
1207,1305114988646932485,2020-09-13 12:03:55,"Nobody:

Me at 6am: The sexual tension created when you pair AirPods to a Samsung phone. 👁👄👁",DanielleJSantos,,,"Savannah, GA",en
5059,1305117386249396229,2020-09-13 12:13:27,"Lol I love this concept so much, but I still can't forget this Samsung commercial from 10+ years ago, it was so cool. 😆

Tablo + BoA + Xia Junsu + Jin Bora 
#SamsungAnycall #Anyband

https://t.co/0VRXVJzrZg https://t.co/Diz7SpOtFs",Whalien_92,,,Seattle,en
