,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,tag
0,1305023217271177216,2020-09-13 05:59:15, And still it too expensive and most people wont ever use that big screen for the productivity Samsung is talking about They only mention that to make us imagine what incredible things wed be able to do if we buy that phone,vladulescu04,,,Romania,negative
1,1305029038554054656,2020-09-13 06:22:23,samsung unpacked  best phone the galaxy s z flip  ,MyPhoneSet,,,United States,positive
2,1305068829433712640,2020-09-13 09:00:30,especially because you can trick ur samsung out and the colors are prettier plus so many cool featuresit really your device,shesgorg,,,"California, USA",neutral
3,1305079575106338816,2020-09-13 09:43:12,going to jump ship to androidthat new samsung has a  megapixel camera and i neeeed it,rose_valenciia,,,"Long Beach, CA",positive
4,1305095450932973570,2020-09-13 10:46:17,just took off my phone screen protector that came preinstalled by samsung and it turns out the glass i thought had chipped was actually just screen protector damage i thought i was going to have to pay £ for a new screen thank you jesus thank you samsung ,_trudiegraham,,,Scotland,positive
5,1305098326707253248,2020-09-13 10:57:43,would anyone want to purchase a  samsung k screen before i toss it on the public scam place absolutely zero issues bought it roughly a year ago im trying to upgrade is all wife needs some motivation i have tons of screenshots if needed ,theJRuss,,"Florida, USA",East Duval County,neutral
6,1305101487752839168,2020-09-13 11:10:16, yeah so all you need is a new phone made by a different company  like samsung,LukeTheNindroid,,,"Virginia, USA",positive
7,1305105737446830080,2020-09-13 11:27:10,wait why is this amazing why do i have a sudden desire to buy a samsung phone omg  ,AshHamarowicz,,,"Orlando, Fl",positive
8,1305109379335753728,2020-09-13 11:41:38, Hi him i have had Samsung note as since note and i think it is the best phone i have a note  gb mod now but somethings makes me really pissedlike if you want to repair a broken screen cost a lot and you must send your phone away for now  weeks usually  days gt,RPaulsson,,,Sweden,negative
9,1305111517533073414,2020-09-13 11:50:08,plot twist this video was filmed all on the new samsung phone  ,sarangtaaee,,,"Los Angeles, CA",neutral
10,1305117386249396229,2020-09-13 12:13:27,lol i love this concept so much but i still cannot forget this samsung commercial from  years ago it was so cool   tablo  boa  xia junsu  jin bora  samsunganycall anyband   ,Whalien_92,,,Seattle,positive
11,1305129914346082305,2020-09-13 13:03:14, Samsung i have decided to change my phone because of this Thank you for giving us actor in and dancer in,jinnieina,,,moon. ,positive
12,1305136389596610561,2020-09-13 13:28:58,Needless to say i am pretty excited for the future of smart phone technology Yes i am a nerd   ,mkostial05,,,"St Louis, MO",positive
13,1305159571015639040,2020-09-13 15:01:05, i have always been a fan of samsung samsung everything from my tv to my phone to my microwave ,Treseption,,,"Virginia, USA",positive
14,1305162161291845632,2020-09-13 15:11:22,this is so cool  x samsung   ,cianelovebts,,,"Phoenix, AZ",positive
15,1305162900387115013,2020-09-13 15:14:18,anyone else with a samsung phone have two american flags emojis ,beachydreamer,,,"Pennsylvania, USA",neutral
16,1305164298780508161,2020-09-13 15:19:52,um this is fucking annoying samsung android never had this happen before on any other device    every time i open anything that has a place to type i have this bs notification amp popup to clear  yes everything is updated reset safemode why is this happening ,AfyaEa,,,"Surrey, BC",negative
17,1305174175829630977,2020-09-13 15:59:07, i am going to need you to drop a samsung curved glass phone with your case on it from  feet down a concrete staircase from a swinging purse just to be sure it will work for me,Sndrab,,,Illinois,neutral
18,1305185216907091969,2020-09-13 16:42:59,samsung galaxy buds live review  unique design with perfect fit finally  gogitech samsung samsungbudslive galaxybudslive,jagi4ulove,,,jal,positive
19,1305186225486049280,2020-09-13 16:47:00, how do i select more than one game to watch on my new samsung tv ,ItsBryanKaplan,,"West Hollywood, CA",Faith In God ,neutral
20,1305187461916622849,2020-09-13 16:51:54, how do i watch multiple games on my new samsung tv ,ItsBryanKaplan,,"West Hollywood, CA",Faith In God ,neutral
21,1305189685283622912,2020-09-13 17:00:44,new video my note  ultra review is here did samsung fail me again   ,LinusTech,,,"Vancouver, BC",negative
22,1305193182251094016,2020-09-13 17:14:38,samsung is insane for doing this ,MiniChimChim,,,Dominican Republic,negative
23,1305202406125449217,2020-09-13 17:51:17,i guess i am done using my old samsung galaxy s as a dedicated pokemongo device ,becklo,,,Detroit,neutral
24,1305204762267312128,2020-09-13 18:00:39,this samsung galaxy s is a marvel it  screen rivals an hdtv the camera is a whopping mp it is g capable with our new rate plans ,Cricket81994773,,Cricket Wireless Authorized Retailer,,positive
25,1305205198042750977,2020-09-13 18:02:23,i think  experience shipping tvs directly translates to having the best cutting edge amp highest quality displays in their mobile devices mad props to the note  ultra,itsmrcovert,,,"Seattle, WA",positive
26,1305208131358568448,2020-09-13 18:14:02,last post before bed today  got a new samsung galaxy a and need a wallpaper for it obviously i plan on putting rosy there but i want a new pic but cannot think of any poses if anyone cares to could you drop some pics of poses you think would work for a phone wallpaper,JoshTarwater,,,"Tucson, AZ, USA",neutral
27,1305209833176674305,2020-09-13 18:20:48,my phone locked me out and i had to call samsung security team i spent an hour on hold with the guardians of the galaxy zinger superherohumor nflsunday welldonetoffees,TsarWillis,,,"Pembroke, MA",negative
28,1305211927107305473,2020-09-13 18:29:07, holy crap samsungi do not even have words for this masterpiece of an ad hotdang jinkook galaxynote,echokomo,,,"Burnaby, BC",positive
29,1305212956586639360,2020-09-13 18:33:13, i could watch these samsung commercials over and over  they look amazing,nevermindtatt00,,,california ,positive
30,1305214003170349062,2020-09-13 18:37:22, there an event soon i think but i just want the samsung camera haha,kate_justtwt,,,Moon,positive
31,1305217004576612355,2020-09-13 18:49:18,my fiancée has played with the coloring app on my samsung tablet here are some random pieces i found on my camera roll ,j_bertho,,,"Montreal, Canada",neutral
32,1305217652739244033,2020-09-13 18:51:52,on my samsung s the tracking is generally good with location set to allow all the time my brother phone only has location setting of on or off and when his phone is not active it does not track his route except very occasionally when it does,oxfordroly,,,Dorset,positive
33,1305220913785458688,2020-09-13 19:04:50,samsung definitely has my attention and you know  i am in the market for a new phone  ,kittievante,,,nowhere,positive
34,1305224500448030726,2020-09-13 19:19:05,dear samsung  thank you for allowing me to split screen apps on my phone so i can work and watch football that is all happy football everyone,JoshBeardRadio,,,"Houston, TX",
35,1305226951578140672,2020-09-13 19:28:49,reviewers do not talk enough about how bad samsung software is if i paid  for a plastic phone with ads in the speed dial i would be pissed,notlilcchapelle,,,"Gresham, OR",negative
36,1305228175098740742,2020-09-13 19:33:41,My phone is charging this night phone without a cord low Samsung for life,kimanidee,,,401,positive
37,1305228241045794816,2020-09-13 19:33:57, samsung pay is very popular in america for the ability to mimic a swiping a card on your phone so you can effectively tap on swipe card machines,RayMinehane,,,Ireland,positive
38,1305232853702184960,2020-09-13 19:52:17, okay but no lie im really going to switch to samsung if   drops the ball this year my phone should not be as slow as it is,NapsIntheSun,,,USA,positive
39,1305235321718673411,2020-09-13 20:02:05,behind the new samsung fold how the quest to maximise screen size is driving major innovation  ,TroubledDays,,,"Alaska, USA",neutral
40,1305241681718136833,2020-09-13 20:27:21, Samsung qt it was a choice between led and led For me a brighter screen was more appealing than deeper and truer blacks so i went led,asharsaleem121,,,United States,neutral
41,1305245387444412426,2020-09-13 20:42:05, i have the “all video downloaded app to download them i have a Samsung phone,Cabecki68,,,Somewhere in Germany,neutral
42,1305257058070134794,2020-09-13 21:28:27, in college i dropped a samsung flip phone down an elevator shaft yes that sliver between the elevator and the floor  and it was busted but it still worked after it was retrieved so i have been pretty loyal to them since then hah,trishofthetrade,,"Boston, MA","Boston, MA",positive
43,1305257401449316352,2020-09-13 21:29:49, do not laugh i draw freehand in sketchbook on a my now very old but faithful screen cracked samsung galaxy note  with an spen when this phone finally dies and is unfixable i am going to be the unhappiest person on the planet,0pinion8d,,,Home,positive
44,1305263576211427332,2020-09-13 21:54:21, Understandable but i liked the phone that is why i used it for so long i am enjoying my Samsung se most likely use it for a few years until a phone comes out that i would enjoy using i am not much for gimmick phones maybe when a one plus phone releases in the next few years,LondonB0i,,,"Orlando, FL",positive
45,1305264647063306240,2020-09-13 21:58:37,the beauty of an oled screen on a samsung phone it is truly something to behold,HealingVisionz,,,"Victoria, British Columbia",positive
46,1305267190162239489,2020-09-13 22:08:43,The way OK snatched this phone out of my mans in hand was priceless   idont get down with sSamsungphones like that but i rrockwith this commercial  ,WhatchaGot2Say,,,"Texas, USA",positive
47,1305269640763863040,2020-09-13 22:18:27, i am a samsung girl been one for years  i have needed a new phone for awhile so i am lucky to have been able to get the bts version,NickiJo94354416,,,"Lake Worth, FL",positive
48,1305272867559542786,2020-09-13 22:31:17,please dont watch reviews from these mainstream tech youtubers before buying most samsung products there is this media bias against most of their awesome products,d_aniel_O,,,"Massachusetts, USA",positive
49,1305276908427505664,2020-09-13 22:47:20, i am disappointed that Samsung would not add an external memory card slot For this reason i am returning the phone Would be a keeper if i could fit all my work documents and pictures with my SD card,Wallyduq,,,"Tallahassee, FL",negative
50,1305278568524521473,2020-09-13 22:53:56,im just glad samsung really encouraged  to dance  i know theyre marketing a phone but the way they gave so much exposure to  way better than his own company    samsung media team ,seokbeak,,,Moon,positive
51,1305279122327863299,2020-09-13 22:56:08, that has weird neither my samsung tablet nor my samsung phone do that but yes that would suck,F_Corporatism,,,USA,negative
52,1305288134595407873,2020-09-13 23:31:57, i have been a samsung army galaxies are literally the only smartphone i have ever owned also hyundai elantra has been my dream car for like  years now love how the rep the brands i love,MissSnarky1,,,"Somewhere, TX",positive
53,1305298619868872704,2020-09-14 00:13:36, seems this is genuinely a device samsung listened to the fans for if it helps snapdragon  in europe is huge,AdamConwayIE,,,Ireland,positive
54,1305299109310496776,2020-09-14 00:15:33, so many things coming from ya samsung truly is the best phone company ,Quazker,,,"Texas, USA",positive
55,1305313010341179392,2020-09-14 01:10:47, we did and now samsung has better touch refresh and screen refresh ,dalnktech,,,"San Francisco, CA",positive
56,1305313216487194625,2020-09-14 01:11:37,mike my samsung gallaxy s is overheating like the old samsung phone can you help me get the samsung galaxy a  or the newest one can you help me please    thanks augustino patti,Gaphotoman2020,,,Douglasville Ga,negative
57,1305322041139253248,2020-09-14 01:46:40,anyone know how the fuck you connect galaxy buds to a laptop wo disconnecting them from your phone app i am supposed to be able to do it seamlessly as long as i am signed in with my samsung acct on pc but i am ab ready to throw the mfkrs in the road ,daiisygatsby,,,"Green Bay, Wisconsin",negative
58,1305333304409948160,2020-09-14 02:31:26,imma start drippin in fila with a new samsung phone if the content keeps being this good ,KayWithLuvvv,,,"Minneapolis, MN",positive
59,1305333319849013248,2020-09-14 02:31:30, Just saw your review of the camera on the z fold  i cannot wait til i hopefully get it in my hands to use and the subject what a beautiful lady she is  ,Tarek53180,,,redwood city,positive
60,1305335954937384962,2020-09-14 02:41:58,so my phone has an oximeter but samsung dropped support due to some bullshit got a third party app for that thryre putting a goddamn paywall to a health device ,Minty_Root,,,"Canada, Québec, Montréal",negative
61,1305346429485891584,2020-09-14 03:23:35,samsung having a second unpacked event  so my friend just texted me this and i do not even have anything pinging me yet samsung wiht a second event this seems like maybe for a more budget friendly phone since the tagline is unpacked for every fan ,TheKeyseReview,,,"Los Angeles, California",neutral
62,1305351215660769281,2020-09-14 03:42:36,please pray for me my phone  is super bugged since i have been complaining about the city of la i am not sure what now what now twitter knows i have tweeted most of the injustices i go through as soon as i switched to the samsung keyboard on my  line it got worse,twitemarti,,,United States ,negative
63,1305353223138549763,2020-09-14 03:50:35,Typing on twitter from my  has gotten impossible there is a company whose employees are tracking my phone i do not have wife or Bluetooth or hotshot on so how it is either twitter Samsung mobile law enforcement either way it is all so abusive they know i am fighting,twitemarti,,,United States ,negative
64,1305357244276641794,2020-09-14 04:06:34, i get asked often it has a font on my phone called rosemary  i have a Samsung note  if that helps,JDManly18,,,"Mississippi, USA",neutral
65,1305357625907793921,2020-09-14 04:08:05,Why all of a sudden my note sucks No service lags and so much more i already contacted my cell phone provider The note coming out so you guys mess with the lower models ,1988SebastianA,,,"California, USA",negative
66,1305360363991363584,2020-09-14 04:18:57,more evidence of who it is as i spoke about this phone not being bugged my other one is off the pieces of shit just jumped on this who samsung  twitter tmobile help me bc their balls are emboldened look at this bugged my nd phone too unreal,twitemarti,,,United States ,negative
67,1305366640616374272,2020-09-14 04:43:54,pls help me feds my samsung smart watch i just turned it on is dead nothing i push the buttons my phone is ringing  nothing black pls help me i am under electronic monitoring  from evil it has worked just fine until right now the koreans pls help me ,twitemarti,,,United States ,negative
68,1305371617380327425,2020-09-14 05:03:40,why do people do samsung phone brand deals when they know damn well they love their iphones and that they would never use a samsung what kind of marketing is that now i dont think ill ever get a samsung because i cannot trust none of these people promoting it ,inomesswithyou,,,"California, USA",negative
69,1305372860181962753,2020-09-14 05:08:37, is it you guys or samsung that is installing apps wit out my permission ps i hate thing like bixby and face book being undeleetable on my phone,algator17,,,Phoenix Arizona USA,negative
70,1305375825278038016,2020-09-14 05:20:24, my samsung watch does the same thing i have to tell it to loosen the bone wilma and it usually backs off not all of the time though,Vcaldweezy,,,"Southern California, USA",negative
71,1305377216054923264,2020-09-14 05:25:55,i gave in today and ordered a new phone the cheapest samsung was  but unlike this phone it will work and not have to be kept under a fan to keep running without overheating my samsung edge  had a good life and lasted  years without major incidents,TheOnlyMegz,,,"Jonesboro, AR",positive
72,1305378531254439937,2020-09-14 05:31:09,And now this Samsung patents suggest a transparent phone could be in development  android authority  technology tech tech news  read more here ,iamChuckRussell,,,"Camp Hill, PA",neutral
73,1305382553952677888,2020-09-14 05:47:08,what device do you use   i presently use samsung  what about you  yayomoblie,KNG_YAYO,,,Jupiter ,neutral
74,1305382756982157312,2020-09-14 05:47:56,think we are going to get into the samsung galaxy watch  lte as well,TechbyWill,,,"Ohio, USA",neutral
75,1305383696682422272,2020-09-14 05:51:40, my store cant carry any more samsung phone my goodness it improssibkento keep up or even differentiate between them they all simile anyway,HeyNickJohnson,,,Iowa,negative
76,1305406541282062337,2020-09-14 07:22:27,the samsung galaxy z fold  is one expensive ‘smartphone  ,jasoncaston,,,"Dallas, TX",negative
77,1305422569969979392,2020-09-14 08:26:08, no matter what they do but samsung camera quality alway sucks it hoon who makes it look better with his handsome face,minho_ot7,,,Nowhere,negative
78,1305428588326514688,2020-09-14 08:50:03,samsung partners with dtrict to create revolutionary content for led signages  ,Dragonetti0311,,,Netherlands ,positive
79,1305447300588859392,2020-09-14 10:04:25, i need warrenty info on my samsung a i visited your website however it directed me to samsung africa twitter account the phone is a week old and i have had to restart it over  times due to either the microphone headset speaker headphone jack not working,AdinDz101,,,Los Angeles,negative
80,1305454306292686848,2020-09-14 10:32:15,i just updated my phone yesterday how is there another update samsung you killing me,Guamfucius,,,Guam,negative
81,1305473462614409216,2020-09-14 11:48:22, i wish someone sues samsung over using cheaper exynos in their high end mobile phones for selling the same price of mighty snapdragon,Saimzsam,,,Location ,negative
82,1305477217103872007,2020-09-14 12:03:17, thanks but i doubt you can help sent a few emails to both samsung shop and the ceo channel reply was from samsung shop and also a few phone calls had to give up after a couple of weeks as it was so frustrating trying to get a resolution or even an accurate response,CaptainNoodles,,,Fife,negative
83,1305488151826243584,2020-09-14 12:46:44,i have not bought a single samsung phone this year kind of missing them at this point though the note is way too expensive and the s is just way too outdated i thinking the smartest play is just to wait till the next s series phone is released,autotechmedia,,,"Dallas, TX",neutral
84,1305492192174239745,2020-09-14 13:02:48,review samsung galaxy watch  – the refinement of an almost perfect smartwatch  gadgetguy  smartwatch news,SmartWatchesNow,,,USA,positive
85,1305497942795653121,2020-09-14 13:25:39, What Samsung phone do you have,BrianClopton,,,Overland Park,neutral
86,1305501719464296448,2020-09-14 13:40:39,okay is it just me or is my phone not allowing me to take screenshots on my phone that i paid for and as part of my free speech  why cannot i have whatever i would like to take a screenshot of  samsung bull pucky,MaryMagdalen777,,,California ,negative
87,1305502973368446976,2020-09-14 13:45:38, My note  is deleting text messages i purchased this phone November  My texts are now showing only those from June  on forward No the selection to delete texts over x amount is not there This is not good,JusChas,,,"New Orleans, LA",negative
88,1305507718653005825,2020-09-14 14:04:29,new research disclosed a string of severe security vulnerabilities in the find my mobile—an android app that comes preinstalled on most samsung smartphones—that could have allowed remote attackers to track victims realtime location monitor  accessco ,DeverenWerne,,,"Greenville, South Carolina",negative
89,1305509000503590912,2020-09-14 14:09:35,my brokenscreen three generations old samsung phone is almost at its gb capacity every time i save a pic from twitter it might be the last thing i ever do worth it every time i take the risk,nicfromalabama,,,"Clarksville, TN",neutral
90,1305511511662575617,2020-09-14 14:19:34,samsung galaxy buds live review  unique design with perfect fit finally  gogitech samsung samsungbudslive galaxybudslive,Murali_Krishnaa,,,"TN, India",positive
91,1305520344057483264,2020-09-14 14:54:40,i have been waiting for samsung to send me your device has been shipped email haha,Joey_Flvcco,,,"New Orleans, LA",neutral
92,1305526047543357440,2020-09-14 15:17:19, waste of money i bought one for a samsung note and it fit great but i had to push hella hard to use my screen super disappointing,DJ_Shaow,,,"Fort Atkinson, WI",negative
93,1305528684724584448,2020-09-14 15:27:48, get you a nice obscure samsung phone they are just as good as the mainline models but like  cheaper at least in my experience,TheAngryGamerR6,,,"Michigan, USA",positive
94,1305529554778361858,2020-09-14 15:31:16,listening to some super mario galaxy music in the office today really takes me back to my early college years  still had a  samsung flat screen crt tv with nothing but standard def consoles nintendo wii playstation  and dreamcast hooked up it looked amazing on that tv,Jack_McCloud,,,"Fort Oglethorpe, GA",positive
95,1305547555435147266,2020-09-14 16:42:47, i would probably buy it if it is nice i have a samsung watch right now and love it sowe will see,jasonglisson,,,"Virginia, USA",positive
96,1305548821628420096,2020-09-14 16:47:49, i thought the same thing but there are probably some hardware things they also want to add specifically for communications with the cars Who knows i would buy one though i love my Samsung watch but i would easily get something new,jasonglisson,,,"Virginia, USA",positive
97,1305551415335628806,2020-09-14 16:58:08, i do think i will own a phone like this in the future  However i am still not ready to take on generation  i am also waiting for android to better support bigger screens and tablets Samsung does good with their apps and a few others Just worried about a fragmented experience,michaelherald,,,"Bella Vista, AR",positive
98,1305557281908678659,2020-09-14 17:21:26, not bad for my old samsung s smart phone ,Minuteman223,,,South Texas,positive
99,1305559003779477505,2020-09-14 17:28:17,thinking about getting a samsung phone just because i know ill hate it that way my screen time will be a fraction of what it currently is,BlueCurr9,,,"Nashville, TN",negative
100,1305559429832728579,2020-09-14 17:29:58, yeah i rocked a samsung flip phone for the longest time  wasnt even cool enough to get a razr ,DRichards_Photo,,,"Minnesota, USA",positive
101,1305560831611015168,2020-09-14 17:35:33, Yes it is a good phone of the best by my opinion note but i hope Samsung listens some day  do not have different chip in the same phone model only based on where you live Another thing if i want to repair my notes screen it is delay takes weeks to get it back right now,RPaulsson,,,Sweden,negative
102,1305567011263729664,2020-09-14 18:00:06,the smart phone must have hdmi output capabilities i know modern samsung phones do they will run a custom androidbased desktop environment called dex when the phone is both powered being charged and plugged into an hdmi device,AlexandraErin,,,Hagerstown,neutral
103,1305572397706358784,2020-09-14 18:21:30,thinking of getting a samsung s   anyone out there have any experience with that phone,Cigargoyle_,,,"Michigan, USA",neutral
