,Unnamed: 0,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
1,4464,1307255174499454977,2020-09-19 09:48:15,@SamsungMobile  sorry this is why I change from Samsung to Hawaii After Using a Fold for 1 year I had issues with dead pixels and a line down my screen its not my fault and never drop it its your bloody updates,kickass1456,,,"Springvale, ME",en,negative
4,4881,1307293282934939649,2020-09-19 12:19:41,"@classateach @SamsungMobileUS @sprint @TMobile Oh, it's very heavy for a phone.",d3sc3n7,,,"Kansas City, MO",en,negative
7,3207,1307298787224956935,2020-09-19 12:41:33,@SamsungMobile I love the phone but not fond of the neq colors. Will the Note Ultra come in blue?,ChrisGCampbell,,,USA,en,positive
9,9089,1307304720046882816,2020-09-19 13:05:08,"@JJ_Wheel_210 @SamsungMobileUS Yes, it's an amazing phone! You got the Mystic Black?! Nice!",MariKrajczar,,,Pennsylvania,en,positive
11,9242,1307307206677794816,2020-09-19 13:15:01,"For all it offers, this Samsung #smartphone is worth its price. #lifestyle  https://t.co/1gbhkMjIIV https://t.co/bAQlSpZl5g",metroareadev,,,"Maryland, USA",en,positive
14,4878,1307313557151846403,2020-09-19 13:40:15,@contractorspov @SamsungMobileUS @SamsungMobile @Samsung @SamsungUS Yup. This phone is pretty amazing,mkostial05,,,"St Louis, MO",en,positive
20,9899,1307315648704454656,2020-09-19 13:48:34,@itssamsungval @SamsungMobileUS It's such an amazing device!,MariKrajczar,,,Pennsylvania,en,positive
21,535,1307317152915972096,2020-09-19 13:54:32,@EdwardCastro10 Yeah kinda sucks. My Samsung tv doesn’t even have the app so I have to watch on my phone,Halored27,,,Anaheim,en,negative
22,9241,1307319912906526720,2020-09-19 14:05:30,"@Xeronan @Metzger14_ @itsbleekerxo @JediPolarBear @indiasanaaa they may buy their parts from samsung but they sure as fuck know how to use them better than samsung does😭 and that’s coming from someone who has had both. android camera quality is complete dick and balls, that’s just a fact.",beaver_emma,,,"Plainfield, CT",en,negative
27,9240,1307328374113808384,2020-09-19 14:39:08,"@Samsung, as a long time loyal Samsung phone owner I feel slited when I purchase the new S20 note ultra, at first when I logged in you were offering a pad with my purchase,I didn't buy at that time, now I only get the phone with no perks, not cool",shines44,,,BK NY,en,negative
29,4750,1307339335809871874,2020-09-19 15:22:41,@CalmDre @DangItLee Samsung iteratated on the note 10's design but had to raise the camera bump to fit the periscope camera in this case,likemiketooo,,,"Virginia, USA",en,neutral
31,2869,1307343356616470528,2020-09-19 15:38:40,"So I ordered cases for my Fold 2 back on the 8th.....was supposed to have them yesterday but according to Verizon, Samsung didn't ship enough cases so now I have to wait til the 3rd. Ok then if something happens between now and then I fully expect one of you to replace my device!",Vyyyper,,,Chicago,en,negative
33,8737,1307344423123128321,2020-09-19 15:42:54,"@iflyon2wheels @mhs21981 @ENNBIIKEYY @MaxWinebach Bro you said ""ask samsung about MY note edge"", I replied who TF are you that samsung know about your particular device?",Rskyline,,,"Lewisville, TX",en,neutral
34,7269,1307345213476798466,2020-09-19 15:46:02,@iflyon2wheels @mhs21981 @ENNBIIKEYY @MaxWinebach Lol it's because that a crazy stupid made phone no one on samsung is gonna fix. That screen alone costs that or at that time at least. So that was pretty cheap TBH. They won't fix your stuff they just replace it.,Rskyline,,,"Lewisville, TX",en,negative
38,534,1307347403150819329,2020-09-19 15:54:44,@RJtheCableGuy @SamsungMobileUS The ad doesn't say that they're the only one with 5G phone. So why false advertisement?,EliasSy7,,,"La Verne, CA, USA",en,negative
39,7267,1307347681702969345,2020-09-19 15:55:51,"@iflyon2wheels @mhs21981 @ENNBIIKEYY @MaxWinebach They call it repair, what happens inside is something else. At least here in the US, samsung won't try to repair anything in the phone, they'll just replace the affected part. If it was the motherboard that had corrosion that's why they offer the replacement for 300. Makes sense.",Rskyline,,,"Lewisville, TX",en,negative
40,135,1307347765618520069,2020-09-19 15:56:11,"@khargaShivam If you were able to access the hotspot feature on your unlocked Samsung device, the feature was not approved by Cricket which violated our terms and conditions. At this time, we do not approve or allow hotspot access to unlocked BYOD devices.",Cricketnation,,,"Atlanta, Georgia",en,neutral
41,1968,1307347854340562950,2020-09-19 15:56:32,"I don’t see what’s the point of having one. Cellphones do the same thing. My kids have Samsung tablets but they’re on their phone much more than the tablets. 

I was big on tablets when they first came out. I rarely use the one I have now. https://t.co/d225oPytrh",ejayjones49,,,"Fort Lauderdale, FL",en,neutral
42,3365,1307348922852020226,2020-09-19 16:00:47,Thinking of buying Samsung Galaxy S8 S8+ Plus for Total Wireless (Verizon Towers) 64GB - Refurbished? Read our lates https://t.co/sFM2EGe7zX,iConvertwireles,,,"Nashville, TN",en,neutral
