,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
0,1309967903438102529,2020-09-26 21:27:40,@NerdyNetty Samsung any of the 20 series have an amazing camera especially the Ultra 👀,amptv_,,,South Carolina,en,positive
1,1309968142500802566,2020-09-26 21:28:37,Maybe if I tweet @SamsungMobile and @SamsungMobileUS every day they will fix the latest Galaxy Wearable app update. My watch is now useless. Just look at all the app reviews. Don't buy one until they fix it.,lovemyboys0611,,,"Austin, TX",en,negative
2,1309970643161505792,2020-09-26 21:38:34,"@Morf_UK @NerdyNetty Yes just got a Samsung note20, love the camera! Just gotta take out the layers of filters the cam comes with though! My skin looked too smooth on camera then I went to the bathroom mirror and saw all my acne again. Hahah",corgisaan,,"Los Angeles, CA","Los Angeles, CA",en,positive
3,1309975764981481472,2020-09-26 21:58:55,"@SamsungSupport I can't understand how a small cracked screen has too cost 310 to replace? what does it cost to manufacure? 10$ it's ungodly to hose the public that way,",Robertinno53,,,Bronx NY,en,negative
4,1309982136053702663,2020-09-26 22:24:14,Not even 3 days owning the @SamsungMobileUS #Note20Ultra from @TMobile and the screen broke from a fall less than one foot onto a wood floor in a @speckproducts case. Guess this one wasn't built for impact and Gorilla Glass Victus isn't as strong as the claim 😭 #samsung #note20 https://t.co/Hy1qRrCvGy,TheRealMedicCJ,,,Michigan,en,negative
5,1309986065701367809,2020-09-26 22:39:51,"In case you missed my recent tech video we reviewed the @Samsung Galaxy 20 +

🎬 https://t.co/WZqpKn1Lea

This will be my last phone review since I'm switching up my content 2021! https://t.co/A2rIUEWI3M",whitedesku,,,DOODCAVE ,en,neutral
6,1309993365795147776,2020-09-26 23:08:51,@SamsungMobileUS  I’d appreciate it you are going to sell a $1000 phone then you staff your customer service with individuals that know how to work all aspects of the samsung AR emoji.   Customer has been pitiful today,GoddessMarvette,,,"Georgia, USA",en,negative
7,1309995885846302720,2020-09-26 23:18:52,"Samsung One UI 3 0 With Android 11 - OFFICIAL Hands On and FIRST Look
https://t.co/L8TqLW0xur
#samsung #oneui3",APicard27,,,"Montréal, Québec",en,neutral
8,1309996304077119488,2020-09-26 23:20:32,"I haven't mentioned it but I got a new phone a couple of weeks ago, Samsung Galaxy Note 10+
And I am loving it, it's good to have an s-pen again 
Also I figured out how to disconnect Bixby from the power button and adjust the volume limit which gets rid of the warning https://t.co/bJ0ZwT2Jsc",spaceopossum2,,,KY USA,en,positive
9,1309996310238580746,2020-09-26 23:20:33,Is that your Samsung galaxy 11 ultra? Accompanied by your signed markiplier phone case? Or are you just happy to see me?,Art_Dumper,,,"Joplin, MO",en,positive
10,1309999805012213760,2020-09-26 23:34:26,#AmazonPrimeVideo this is how stupid and poorly programmed your app is.... the exit option stays on the screen for 2 or 3 minutes before it actually exits 90 % of the time and it never exits 10 %. This has been on all last night and all of today? #samsung tvs also suck https://t.co/3QeFjdRtuF,TonyStates1,,,"Boise, Idaho USA",en,negative
