,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,tag
0,1309967903438102529,2020-09-26 21:27:40, samsung any of the  series have an amazing camera especially the ultra ,amptv_,,,South Carolina,positive
1,1309968142500802566,2020-09-26 21:28:37,Maybe if i tweet and every day they will fix the latest galaxy wearable app update  My watch is now useless  Just look at all the app reviews  do not buy one until they fix it ,lovemyboys0611,,,"Austin, TX",negative
2,1309970643161505792,2020-09-26 21:38:34, Yes just got a Samsung note  love the camera  Just gotta take out the layers of filters the cam comes with though  My skin looked too smooth on camera then i went to the bathroom mirror and saw all my acne again  Hahah,corgisaan,,"Los Angeles, CA","Los Angeles, CA",positive
3,1309975764981481472,2020-09-26 21:58:55, i cannot understand how a small cracked screen has too cost  to replace  what does it cost to manufacure    it has ungodly to hose the public that way ,Robertinno53,,,Bronx NY,negative
4,1309982136053702663,2020-09-26 22:24:14,Not even  days owning the  noteultra from and the screen broke from a fall less than one foot onto a wood floor in a case  Guess this one was not built for impact and gorilla glass Vitus is not as strong as the claim   sSamsung note ,TheRealMedicCJ,,,Michigan,negative
5,1309986065701367809,2020-09-26 22:39:51,"in case you missed my recent tech video we reviewed the galaxy       Thiswill be my last phone review since ii mswitching up my content   ",whitedesku,,,DOODCAVE ,neutral
6,1309993365795147776,2020-09-26 23:08:51, i d appreciate it you are going to sell a   phone then you staff your customer service with individuals that know how to work all aspects of the Samsung AR Emory   Customer has been pitiful today,GoddessMarvette,,,"Georgia, USA",negative
7,1309995885846302720,2020-09-26 23:18:52,"samsung one ui   with android    official hands on and first look   samsung  oneui",APicard27,,,"Montréal, Québec",neutral
8,1309996304077119488,2020-09-26 23:20:32,"i have not mentioned it but i got a new phone a couple of weeks ago  samsung galaxy note   and i am loving it  it has good to have an s pen again  also i figured out how to disconnect bixby from the power button and adjust the volume limit which gets rid of the warning ",spaceopossum2,,,KY USA,positive
9,1309996310238580746,2020-09-26 23:20:33,is that your samsung galaxy  ultra  accompanied by your signed markiplier phone case  or are you just happy to see me ,Art_Dumper,,,"Joplin, MO",positive
10,1309999805012213760,2020-09-26 23:34:26, amazonprimevideo this is how stupid and poorly programmed your app is     the exit option stays on the screen for  or  minutes before it actually exits    of the time and it never exits     this has been on all last night and all of today   samsung tvs also suck ,TonyStates1,,,"Boise, Idaho USA",negative
11,1310001824074625025,2020-09-26 23:42:28, you do not have ones for a samsung do you  because i am planning on getting that type of phone sometime this week,LittleBastard29,,,"Astoria, OR",neutral
12,1310002668048318464,2020-09-26 23:45:49, it had bttftr  as well as another motion simulator called star quest adventure for the Samsung pavilion expo in   Here another version with more in depth information from Douglas Trumbull  ,CowMissing,,,"Universal City, Los Angeles",neutral
13,1310009460266397697,2020-09-27 00:12:48, just wanted to let you guys know  i pre ordered the galaxy s ultra  i have had this phone for about  months or so and because of this phone i will never own another samsung product  waste of money ,MiiseryDK,,,"Oregon, USA",negative
14,1310010254386704384,2020-09-27 00:15:58, i do need a tall smart phone tripod that has inexpensive as well ,KnightRalph316,,,"New York, NY",neutral
15,1310011372600782851,2020-09-27 00:20:24, Yes and use voice activation to trigger the shutter  Absolutely no shake to the device  ,iamwaynegilbert,,,"Brooklyn, NY",neutral
16,1310015140025126912,2020-09-27 00:35:22, My favorite phone RN  ,justbeslick,,,"Oakland, CA",positive
17,1310018527332642816,2020-09-27 00:48:50, i also try to do some decent photography when i am able to  that is part of the reason why i upgraded my phone to the newest samsung    not the folding one but the other fancy one ,K8TBenoit,,,"Missouri, USA",positive
18,1310020509992615937,2020-09-27 00:56:43, i seriously wish t does not cost at least same as sfe which is   but it seems quite difficult as even the one plus  comes at same price point  Even at same price  Samsung have better camera  in rating  wireless charging which going to attract more people over just fast charging,DinkarTaneja,,,"Montréal, Québec",positive
19,1310020847034413056,2020-09-27 00:58:03, this phone is so messed up  ,AndreaJeanine18,,"St Louis, MO",,negative
20,1310021304016351232,2020-09-27 00:59:52, i hope you like the galaxy z fold  man  That device is magic,d_spi,,,"Chicago, IL",positive
