,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
3006,1312366855546458112,2020-10-03 12:20:15,"Dear @oneplus I'll be jumping via @TMobile to a @samsung device today. I love your phones and I really hope the 9 Pro has a disappearing camera so I can jump to it, love you and will miss you. Please help me come back.",junkion,,,"Minneapolis, MN",en
1861,1312367237391618048,2020-10-03 12:21:46,"#samsung galaxy S20 LE 5G great little phone, plus I got a £300 trade in for my old phone, so very pleased. I also got a freebie Fit2 with it and that's already on EBay:)",chefbyte,,,Lincolnshire,en
69,1312368630034767872,2020-10-03 12:27:18,"They just played a Samsung ad on the radio and Dynamite was the background song!! I was talking on the phone and screamed so loud my dad almost crashed and probably broke my friends ear 😂 Everyone gave a very tired sigh when I said it was bts, they're really sick of my shit 😂",RabijaManafova,,,Sweden,en
5556,1312368728336723973,2020-10-03 12:27:42,The samsung ad was 5% phone promo and 95% yoongi making cake,deIicateknj,,,lebanon ,en
6043,1312374059217362944,2020-10-03 12:48:53,"@SamsungMobile @BTS_twt First and most important: Yoongi 🔥👌
2. The earphones are superior! When you pause and people are talking to you, it's like their not there, so good 👌 And the microphone one s20 is amazing at filtering the sounds from front and back camera. I could talk next to a waterfall💯 +",Charlotte7on,,,Norway,en
5813,1312374426235736065,2020-10-03 12:50:20,"Samsung Galaxy users here are some good photography tips when shooting with your phones #withGalaxy
https://t.co/386Qme0hNe",jrj2tech,,,"Hagerstown, MD",en
6228,1312377982774771716,2020-10-03 13:04:28,"There is no better transfer tool than this.

Video: https://t.co/XR63VgyU7e

#Samsung #Smartswitch #Galaxys20 #galaxynote20 #GalaxyS20FE https://t.co/p3I22WnX7U",jimmyispromo,,,"Midwest, US",en
6214,1312380507099865088,2020-10-03 13:14:30,I love that they are also promoting the Note 20. I love my Note phone. Will not get anything else. (Not even for BTS). Thank you Samsung for having them promote my preferred phone! https://t.co/mViMexj4O2,Miharu_sama,,,Nebraska,en
5986,1312381170777239552,2020-10-03 13:17:08,"@SamsungSupport  @SamsungMobile Need help with my S10E. I can only connect 1 device to my Hotspot. Other androids can connect up to 10.

And I can only connect 1 pair of headphones via Bluetooth. Other androids can connect 2 devices and listen to same time. https://t.co/a4GWOKSFZK",usillee,,,Seattle,en
5985,1312384933537738753,2020-10-03 13:32:05,"Introducing the Samsung #GalaxyS20FE (Fan Edition). A phone inspired by fans, and made for fans of all kinds.

Pre-order now and receive benefits up to RRP 20,000 you get Galaxy Fit2 worth 8,700 and get 50% off on screen replacement with Samsung Care
 https://t.co/wRZu8sX1w5",HariMirchein,,,A city by the sea.,en
616,1312385053926850560,2020-10-03 13:32:34,"@hariborfc If its a samsung do a device maintenance on it, put all background running apps to sleep, if problem still persists check for a software update sometimes that can be the issue &amp; failing that then do a factory reset but  backup all your data before hand failing that bin it 😂",Ulster_Girl_84,,,Ulster,en
68,1312386646315339777,2020-10-03 13:38:54,@SamsungMobile @BTS_twt I could watch him cook all day. He just look so amazing,LivLaughBTS,,"Auburn, AL","Auburn, AL",en
6213,1312388000567881728,2020-10-03 13:44:16,"Check out what I just added to my closet on Poshmark: Gear S2 SAMSUNG Watch , white. https://t.co/hvkOzRdLx2 via @poshmarkapp #shopmycloset",MarkOrdBrown,,,"Clemmons, NC",en
6042,1312399993303715840,2020-10-03 14:31:56,"@RantsByDesign Not to risk sounding like a commercial. I recently had to buy a new phone. I suggest a ""Amazon renewed"" phone. Samsung Galaxy J7 $97 cheap option. Samsung Galaxy s9 $240 if you have more to spend.",Einsause,,,"Ohio, USA",en
1859,1312400741886234625,2020-10-03 14:34:54,"@Rogue170 Yes, myself and everyone @RealEdgeClear uses 55"" Samsung 4k TV s. Best Buy has a good deal on these. We use GeForce GTX745 video cards or any decent video card with 1 GB Ram. DisplayFusion to manage the screen.",FuturesTrader71,,,"Chicago, IL",en
