,Unnamed: 0,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
0,3006,1312366855546458112,2020-10-03 12:20:15,"Dear @oneplus I'll be jumping via @TMobile to a @samsung device today. I love your phones and I really hope the 9 Pro has a disappearing camera so I can jump to it, love you and will miss you. Please help me come back.",junkion,,,"Minneapolis, MN",en,positive
1,1861,1312367237391618048,2020-10-03 12:21:46,"#samsung galaxy S20 LE 5G great little phone, plus I got a £300 trade in for my old phone, so very pleased. I also got a freebie Fit2 with it and that's already on EBay:)",chefbyte,,,Lincolnshire,en,positive
3,5556,1312368728336723973,2020-10-03 12:27:42,The samsung ad was 5% phone promo and 95% yoongi making cake,deIicateknj,,,lebanon ,en,neutral
4,6043,1312374059217362944,2020-10-03 12:48:53,"@SamsungMobile @BTS_twt First and most important: Yoongi 🔥👌
2. The earphones are superior! When you pause and people are talking to you, it's like their not there, so good 👌 And the microphone one s20 is amazing at filtering the sounds from front and back camera. I could talk next to a waterfall💯 +",Charlotte7on,,,Norway,en,positive
5,5813,1312374426235736065,2020-10-03 12:50:20,"Samsung Galaxy users here are some good photography tips when shooting with your phones #withGalaxy
https://t.co/386Qme0hNe",jrj2tech,,,"Hagerstown, MD",en,positive
7,6214,1312380507099865088,2020-10-03 13:14:30,I love that they are also promoting the Note 20. I love my Note phone. Will not get anything else. (Not even for BTS). Thank you Samsung for having them promote my preferred phone! https://t.co/mViMexj4O2,Miharu_sama,,,Nebraska,en,positive
8,5986,1312381170777239552,2020-10-03 13:17:08,"@SamsungSupport  @SamsungMobile Need help with my S10E. I can only connect 1 device to my Hotspot. Other androids can connect up to 10.

And I can only connect 1 pair of headphones via Bluetooth. Other androids can connect 2 devices and listen to same time. https://t.co/a4GWOKSFZK",usillee,,,Seattle,en,negative
10,616,1312385053926850560,2020-10-03 13:32:34,"@hariborfc If its a samsung do a device maintenance on it, put all background running apps to sleep, if problem still persists check for a software update sometimes that can be the issue &amp; failing that then do a factory reset but  backup all your data before hand failing that bin it 😂",Ulster_Girl_84,,,Ulster,en,negative
11,68,1312386646315339777,2020-10-03 13:38:54,@SamsungMobile @BTS_twt I could watch him cook all day. He just look so amazing,LivLaughBTS,,"Auburn, AL","Auburn, AL",en,positive
16,5375,1312401166060445696,2020-10-03 14:36:35,"@jineshjd If you're in the Samsung ecosystem, I would 100% go for the Galaxy Watch 3. I also think the Watch 3 looks much better and the rotating bezel is a feature to make any competitors jealous",MikeOBrienn,,,"Philadelphia, PA",en,positive
17,67,1312404266510946304,2020-10-03 14:48:55,@StarStatusGroup In the enchanted fairgounds and on my phone samsung galaxy a3,Midnigh08914459,,,On the moon,en,neutral
20,6212,1312407471177240576,2020-10-03 15:01:39,Boy....this new Samsung Note 20 Ultra 5G is greatest phone I've ever owned.,Brew_Krew02,,,"California, USA",en,positive
23,4425,1312415961560035328,2020-10-03 15:35:23,"Samsung's making my DREAM PHONE !! 😇😇😇
#GalaxyNote21 #SamsungGalaxy #Samsung https://t.co/1JlOzu8F3T",TechScoreNY,,,"New York, NY",en,positive
26,1579,1312424120865431553,2020-10-03 16:07:48,@RubinReport @e_porpora The camera on this Samsung Galaxy Tab leaves a LOT to be desired.🙄😡,WilliamFGaines,,,"Louisiana, USA",en,negative
