,Unnamed: 0,Unnamed: 0.1,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
0,0,3006,1312366855546458112,2020-10-03 12:20:15,dear i will be jumping via to a device today  i love your phones and i really hope the  pro has a disappearing camera so i can jump to it  love you and will miss you  please help me come back ,junkion,,,"Minneapolis, MN",en,positive
1,1,1861,1312367237391618048,2020-10-03 12:21:46, samsung galaxy s le g great little phone  plus i got a £ trade in for my old phone  so very pleased  i also got a freebie fit with it and that has already on ebay  ,chefbyte,,,Lincolnshire,en,positive
2,3,5556,1312368728336723973,2020-10-03 12:27:42,the samsung ad was   phone promo and   yoongi making cake,deIicateknj,,,lebanon ,en,neutral
3,4,6043,1312374059217362944,2020-10-03 12:48:53," first and most important  young    ththearphones are superior  whwhenou pause and people are talking to you  it is like their not there  so good  and the microphone one s is amazing at filtering the sounds from front and back camera  i ciuld talk next to a watwaterfall",Charlotte7on,,,Norway,en,positive
4,5,5813,1312374426235736065,2020-10-03 12:50:20,"samsung galaxy users here are some good photography tips when shooting with your phones  withgalaxy ",jrj2tech,,,"Hagerstown, MD",en,positive
5,7,6214,1312380507099865088,2020-10-03 13:14:30,i love that they are also promoting the note   i love my note phone  will not get anything else   not even for bts   thank you samsung for having them promote my preferred phone  ,Miharu_sama,,,Nebraska,en,positive
6,8,5986,1312381170777239552,2020-10-03 13:17:08," need help with my se  i can only connect  device to my hotshot  other androids can connect up to    and i can only connect  pair of headphones via bluetooth  other androids can connect  devices and listen to same time  ",usillee,,,Seattle,en,negative
7,10,616,1312385053926850560,2020-10-03 13:32:34, if it has a samsung do a device maintenance on it  put all background running apps to sleep  if problem still persists check for a software update sometimes that can be the issue camp  failing that then do a factory reset but backup all your data beforehand failing that bin it ,Ulster_Girl_84,,,Ulster,en,negative
8,11,68,1312386646315339777,2020-10-03 13:38:54, i could watch him cook all day  he just look so amazing,LivLaughBTS,,"Auburn, AL","Auburn, AL",en,positive
9,16,5375,1312401166060445696,2020-10-03 14:36:35, if you are in the samsung ecosystem  i would   go for the galaxy watch   i also think the watch  looks much better and the rotating bezel is a feature to make any competitors jealous,MikeOBrienn,,,"Philadelphia, PA",en,positive
10,17,67,1312404266510946304,2020-10-03 14:48:55, in the enchanted fairgounds and on my phone samsung galaxy a,Midnigh08914459,,,On the moon,en,neutral
11,20,6212,1312407471177240576,2020-10-03 15:01:39,boy    this new samsung note  ultra g is greatest phone i have ever owned ,Brew_Krew02,,,"California, USA",en,positive
12,23,4425,1312415961560035328,2020-10-03 15:35:23,"samsung making my dream phone      galaxynote  samsunggalaxy  samsung ",TechScoreNY,,,"New York, NY",en,positive
13,26,1579,1312424120865431553,2020-10-03 16:07:48, the camera on this samsung galaxy tab leaves a lot to be desired ,WilliamFGaines,,,"Louisiana, USA",en,negative
14,27,255,1312432028319539200,2020-10-03 16:39:14,"the latest in my galaxy s journey  i reset the phone  but on restart  it turned off camp  refused to turn back on til the battery went to    then i turned it back on camp  it continued the reset process    i install updates  it restarts  camp  again refuses to turn back on ",PatrickKul,,,"San Francisco, CA",en,negative
